Lat,         Lon,        Elev
48.164214, 24.536044, 1264.0000
48.164983, 24.534836, 1285.0000
48.165605, 24.534068, 1285.0000
48.166228, 24.532915, 1333.0000
48.166777, 24.531927, 1310.0000
48.167326, 24.530884, 1318.0000
48.167011, 24.530061, 1318.0000
48.166053, 24.528039, 1339.0000
48.166655, 24.526064, 1375.0000
48.166497, 24.523574, 1417.0000
48.166128, 24.520214, 1486.0000
48.165416, 24.517170, 1524.0000
48.164546, 24.514640, 1553.0000
48.163412, 24.512980, 1630.0000
48.162331, 24.511715, 1757.0000
48.162015, 24.509462, 1794.0000
48.162147, 24.506932, 1828.0000
48.161751, 24.504244, 1887.0000
48.161197, 24.501793, 1975.0000
48.160580, 24.500537, 1975.0000
48.160250, 24.500106, 2031.0000
