Step	X1	X2	F(X)
0	-1.000000	-1.000000	2.0000000000
1	-1.050000	-1.050000	1.7955125000
2	-1.200000	-1.200000	1.1552000000
3	-1.550000	-1.550000	0.0435125000
4	-1.600000	-1.600000	0.0032000000
5	-1.612500	-1.625000	0.0014082275
6	-1.625000	-1.621875	0.0003815766
7	-1.618750	-1.615625	0.0000946900
8	-1.615625	-1.617188	0.0000483189
9	-1.618750	-1.618750	0.0000051300
10	-1.618359	-1.617969	0.0000015385
11	-1.617969	-1.618018	0.0000000381
12	-1.618066	-1.618066	0.0000000105
13	-1.618042	-1.618018	0.0000000055
14	-1.618018	-1.618030	0.0000000024
15	-1.618042	-1.618042	0.0000000006
16	-1.618036	-1.618030	0.0000000003
17	-1.618030	-1.618033	0.0000000002
18	-1.618036	-1.618036	0.0000000000
19	-1.618034	-1.618033	0.0000000000
20	-1.618033	-1.618033	0.0000000000
